TargetSize,MulSize,base_size,num_karatsuba_levels,num_schoolbook_levels,LUTs,FFRegisters,DSPs,maxClkFreqTillNow,Delay
160,163,163,0,2,3461,6112,61,830,35
160,160,77,0,2,3381,6926,76,846,25
160,160,77,1,1,3770,7507,62,855,31
160,160,77,2,0,3770,7507,62,855,31
160,172,43,0,2,3498,7958,80,798,19
160,172,43,1,1,3815,8486,60,831,27
160,172,43,2,0,5141,9202,45,862,30
256,264,264,0,2,9947,15710,161,760,64
256,256,77,0,2,8194,16386,156,737,36
256,256,77,1,1,8473,17718,114,776,40
256,256,77,2,0,8473,17718,114,776,40
256,258,43,0,2,8380,18818,180,775,26
256,258,43,1,1,7938,17105,135,758,33
256,258,43,2,0,10858,20171,90,842,35
384,384,77,0,3,21596,34686,377,588,56
384,384,77,1,2,20376,34569,321,631,55
384,384,77,2,1,21350,38330,279,583,56
384,384,77,3,0,21350,38330,279,583,56
384,387,43,0,2,19598,43244,405,597,33
384,387,43,1,1,17578,37433,270,650,45
384,387,43,2,0,23208,43803,180,751,48
512,512,77,0,3,35281,56290,622,505,56
512,512,77,1,2,31494,51587,496,443,65
512,512,77,2,1,33122,61525,370,619,72
512,512,77,3,0,33122,61525,370,619,72
512,516,43,0,3,35767,76495,720,466,41
512,516,43,1,2,30593,65374,540,569,50
512,516,43,2,1,29465,59453,405,582,57
512,516,43,3,0,38131,68870,270,629,60
1024,1024,77,0,4,152286,222793,2480,228,123
1024,1024,77,1,3,130777,191658,1976,270,123
1024,1024,77,2,2,118713,177588,1598,315,123
1024,1024,77,3,1,123472,207765,1220,478,123
1024,1032,43,0,4,147724,308860,2880,188,68
1024,1032,43,1,3,121509,245787,2160,305,81
1024,1032,43,2,2,105754,208092,1620,351,90
1024,1032,43,3,1,102288,193330,1215,412,97
1024,1032,43,4,0,128252,221612,810,458,100
1024,1024,IP,0,4,118961,233196,4096,434,71
1024,1024,IP,1,3,100003,187705,3072,374,76
1024,1024,IP,2,2,90424,163012,2304,385,81
1024,1024,IP,3,1,89613,159085,1728,479,86
1024,1024,IP,4,0,105717,169858,1296,459,89
